,kieskringId,id,affid,firstname,initials,prefix,lastname,gender,gemeentenaam,gemeentecode,provincienaam,provinciecode
12824,13,14,16,Godert,G.J.E.,van,Assen,male,GooiseMeren,GM1942,Noord-Holland,PV27
12825,13,15,16,Geert,G.W.D.,,Jeelof,male,Oud-Beijerland,GM0584,Zuid-Holland,PV28
12826,13,16,16,Luke,L.,,Boltjes,male,Oldambt,GM1895,Groningen,PV20
12827,13,17,16,Freek Jan,F.J.,,Berkhout,male,UtrechtseHeuvelrug,GM1581,Utrecht,PV26
12828,13,18,16,Sander,S.O.,,Boon,male,Amsterdam,GM0363,Noord-Holland,PV27
12829,13,19,16,Arjan,A.,de,Kok,male,Oldebroek,GM0269,Gelderland,PV25
12830,13,20,16,Astrid,A.R.,de,Groot,female,Lingewaal,GM0733,Gelderland,PV25
12831,13,21,16,Hugo,H.A.,,Berkhout,male,UtrechtseHeuvelrug,GM1581,Utrecht,PV26
12832,13,22,16,Roel,R.A.,,Mooijekind,male,Alkmaar,GM0361,Noord-Holland,PV27
12833,13,23,16,Kees,C.H.,,Eldering,male,Noordenveld,GM1699,Drenthe,PV22
12834,13,24,16,Erik,D.J.,,Verbrugh,male,Woerden,GM0632,Utrecht,PV26
12835,13,25,16,Saskia,S.R.,,Koning,female,GooiseMeren,GM1942,Noord-Holland,PV27
12836,13,26,16,Hemmie,H.K.,,Kerklingh,male,Diemen,GM0384,Noord-Holland,PV27
12837,13,27,16,Hendrikus,H.,,Velzing,male,Emmen,GM0114,Drenthe,PV22
12838,13,28,16,Loek,L.F.A.M.,van,Wely,male,Tilburg,GM0855,Noord-Brabant,PV30
12839,13,29,16,Frank,F.R.,,Ankersmit,male,Haren,GM0017,Groningen,PV20
12840,13,30,16,Paul,P.B.,,Cliteur,male,Amsterdam,GM0363,Noord-Holland,PV27
12841,13,1,17,Ad,A.M.,,Vlems,male,Boekel,GM0755,Noord-Brabant,PV30
12842,13,2,17,Albert,A.J.H.,de,Louw,male,Buitenland,GM9999,Buitenland,PV99
12843,13,3,17,André,H.A.,,Rozendaal,male,HorstaandeMaas,GM1507,Limburg,PV31
12844,13,4,17,Anita,R.A.,van der,Linde,female,Meppel,GM0119,Drenthe,PV22
12845,13,5,17,Anke,A.K.,,Siegers,female,Steenwijkerland,GM1708,Overijssel,PV23
12846,13,6,17,Annette,A.M.,,Mul,female,Eindhoven,GM0772,Noord-Brabant,PV30
12847,13,7,17,Anthony,A.R.P.,,Migchels,male,Arnhem,GM0202,Gelderland,PV25
12848,13,8,17,Augusto,A.J.,,Titarsole,male,Nijmegen,GM0268,Gelderland,PV25
12849,13,9,17,Dirk,D.,,Dubling,male,Weststellingwerf,GM0098,Friesland,PV21
12850,13,10,17,Elovena,D.M.,,Ackerman,female,Buitenland,GM9999,Buitenland,PV99
12851,13,11,17,Erik,H.,,Holthuis,male,Amsterdam,GM0363,Noord-Holland,PV27
12852,13,12,17,Frieda,S.,,Bos,female,AaenHunze,GM1680,Drenthe,PV22
12853,13,13,17,Geert,G.J.H.,,Vousten,male,Amersfoort,GM0307,Utrecht,PV26
12854,13,14,17,Gio,G.D.M.,,Vogelaar,male,Utrecht,GM0344,Utrecht,PV26
12855,13,15,17,Hanneke,J.H.,,Bijl,female,Huizen,GM0406,Noord-Holland,PV27
12856,13,16,17,Hans,J.T.,van,Steenbergen,male,Breda,GM0758,Noord-Brabant,PV30
12857,13,17,17,Hugo,H.A.,,Schönbeck,male,Soest,GM0342,Utrecht,PV26
12858,13,18,17,Indi,A.R.,,Hondema,female,Súdwest-Fryslân,GM1900,Friesland,PV21
12859,13,19,17,Janita,J.,,Venema,female,Leeuwarden,GM0080,Friesland,PV21
12860,13,20,17,Jeroen,J.A.A.M.,,Ghuijs,male,Zwijndrecht,GM0642,Zuid-Holland,PV28
12861,13,21,17,Jolanda,J.J.,,Kirpensteijn,female,Amsterdam,GM0363,Noord-Holland,PV27
12862,13,22,17,Jolanda,J.,,Wilshaus,female,Bunnik,GM0312,Utrecht,PV26
12863,13,23,17,Karina,C.P.M.,,Jansen,female,Brunssum,GM0899,Limburg,PV31
12864,13,24,17,Kitty,H.K.,,Haccou,female,Borger-Odoorn,GM1681,Drenthe,PV22
12865,13,25,17,Leo,L.,van der,Vlist,male,Amsterdam,GM0363,Noord-Holland,PV27
12866,13,26,17,Lex,L.B.,,Hupe,male,Purmerend,GM0439,Noord-Holland,PV27
12867,13,27,17,Louis,L.F.,,Bervoets,male,Groningen,GM0014,Groningen,PV20
12868,13,28,17,Marco,M.,,Janssen,male,Eindhoven,GM0772,Noord-Brabant,PV30
12869,13,29,17,Marielle,M.J.M.,,Cornielje,female,Nijmegen,GM0268,Gelderland,PV25
12870,13,30,17,Marnix,M.R.,,Lamers,male,UtrechtseHeuvelrug,GM1581,Utrecht,PV26
12871,13,31,17,Marijke,M.J.,,Hanff,female,BergenDal,GM1945,Gelderland,PV25
12872,13,32,17,Nina,N.J.,van der,Burgt,female,Uden,GM0856,Noord-Brabant,PV30
12873,13,33,17,Peter,P.J.W.G.,van,Vliet,male,Haren,GM0017,Groningen,PV20
12874,13,34,17,Purusha,M.J.,van de,Graaf,female,Bronckhorst,GM1876,Gelderland,PV25
12875,13,35,17,Rene,O.J.,,Visser,male,Rotterdam,GM0599,Zuid-Holland,PV28
12876,13,36,17,René,R.A.J.,,Graafsma,male,DeBilt,GM0310,Utrecht,PV26
12877,13,37,17,Robbert,R.W.,,Geelen,male,Bronckhorst,GM1876,Gelderland,PV25
12878,13,38,17,Robert,R.H.,,Swami-Persaud,male,Wijchen,GM0296,Gelderland,PV25
12879,13,39,17,Roula,W.,,Tourgaidis,female,Amstelveen,GM0362,Noord-Holland,PV27
12880,13,40,17,Sjoerd,S.,,Zoethout,male,Nissewaard,GM1930,Zuid-Holland,PV28
12881,13,41,17,Wernard,W.E.,,Bruining,male,Tiel,GM0281,Gelderland,PV25
12882,13,42,17,Wim,W.G.M.,,Massop,male,Almere,GM0034,Flevoland,PV24
12883,13,1,18,Norbert,N.P.M.,,Klein,male,Nijkerk,GM0267,Gelderland,PV25
12884,13,2,18,Marie-Louise,M.L.P.,,Loomans,female,Soest,GM0342,Utrecht,PV26
12885,13,3,18,Maarten,M.C.,,Wienbelt,male,Overbetuwe,GM1734,Gelderland,PV25
12886,13,4,18,Artemis,A.A.,,Westenberg,female,CapelleaandenIJssel,GM0502,Zuid-Holland,PV28
12887,13,5,18,Harry,H.,,Haddering,male,Assen,GM0106,Drenthe,PV22
12888,13,6,18,Wouter,W.F.,,Smit,male,Duiven,GM0226,Gelderland,PV25
12889,13,7,18,Ruud,R.,,Lammers,male,Papendrecht,GM0590,Zuid-Holland,PV28
12890,13,8,18,Gerard,J.G.L.,,Kuijpers,male,Zoetermeer,GM0637,Zuid-Holland,PV28
12891,13,9,18,Yohan,Y.A.C.,,Byrde,male,Buitenland,GM9999,Buitenland,PV99
12892,13,10,18,Antoon,A.F.J.,,Huigens,male,Apeldoorn,GM0200,Gelderland,PV25
12893,13,11,18,Dino,D.A.,,Seelig,male,Heusden,GM0797,Noord-Brabant,PV30
12894,13,12,18,Martin,M.K.,,Vorswijk,male,Amsterdam,GM0363,Noord-Holland,PV27
12895,13,13,18,Jeroen,J.G.,,Zandberg,male,Leidschendam-Voorburg,GM1916,Zuid-Holland,PV28
12896,13,14,18,Lucas,L.B.,,Stassen,male,Zeist,GM0355,Utrecht,PV26
12897,13,1,19,Jan,J.,,Dijkgraaf,male,DeFryskeMarren,GM1940,Friesland,PV21
12898,13,2,19,Beryl,H.B.E.,,Dreijer,female,Velsen,GM0453,Noord-Holland,PV27
12899,13,3,19,Ahmed,A.,,Aarad,male,'s-Gravenhage,GM0518,Zuid-Holland,PV28
12900,13,4,19,Damiaan,D.J.W.,,Reijnaers,male,Diemen,GM0384,Noord-Holland,PV27
12901,13,5,19,Chantal,C.,,Klaver,female,'s-Gravenhage,GM0518,Zuid-Holland,PV28
12902,13,6,19,Alptekin,A.,,Akdoğan,male,Houten,GM0321,Utrecht,PV26
12903,13,7,19,Niels,N.C.,de,Swart,male,Amsterdam,GM0363,Noord-Holland,PV27
12904,13,8,19,Geert-Johan,G.J.,,Riemer,male,Alkmaar,GM0361,Noord-Holland,PV27
12905,13,9,19,Vivienne,V.B.,,Groenewoud,female,Zeist,GM0355,Utrecht,PV26
12906,13,10,19,Sander,S.,,Giebels,male,Zwolle,GM0193,Overijssel,PV23
12907,13,11,19,Ali,A.,,Bal,male,Heemskerk,GM0396,Noord-Holland,PV27
12908,13,12,19,Maarten,M.C.,,Brante,male,Amsterdam,GM0363,Noord-Holland,PV27
12909,13,13,19,Marcel,H.J.M.,de,Dood,male,Zuidplas,GM1892,Zuid-Holland,PV28
12910,13,14,19,Stefan,S.A.M.M.,de,Konink,male,Leidschendam-Voorburg,GM1916,Zuid-Holland,PV28
12911,13,1,20,Ancilla,A.T.,van de,Leest,female,Amsterdam,GM0363,Noord-Holland,PV27
12912,13,2,20,Matthijs,M.A.,,Pontier,male,Amsterdam,GM0363,Noord-Holland,PV27
12913,13,3,20,Rico,H.A.,,Brouwer,male,Almere,GM0034,Flevoland,PV24
12914,13,4,20,Alex,A.T.E.,,Straver,male,Winsum,GM0053,Groningen,PV20
12915,13,5,20,Petra,P.M.H.,,Downs-Hovestadt,female,Helmond,GM0794,Noord-Brabant,PV30
12916,13,6,20,Tjerk,T.T.,,Feitsma,male,Amstelveen,GM0362,Noord-Holland,PV27
12917,13,7,20,Maarten,M.C.,,Lensink,male,Buitenland,GM9999,Buitenland,PV99
